ADJ	A	A
C	Caa	Caa
POST	Cab	Cab
CPOST	Cba	Cbab
C	Cbb	Cbaa, Cbba, Cbbb, Cbca, Cbcb
ADV	Da	Daa
ADV	Dfa	Dfa
ADV	Dfb	Dfb
ASP	Di	Di
ADV	Dk	Dk
ADV	D	Dab, Dbaa, Dbab, Dbb, Dbc, Dc, Dd, Dg, Dh, Dj
N	Na	Naa, Nab, Nac, Nad, Naea, Naeb
N	Nb	Nba, Nbc
N	Nc	Nca, Ncb, Ncc, Nce
Loc	Ncd	Ncda, Ncdb
N	Nd	Ndaa, Ndab, Ndc, Ndd
DET	Neu	Neu
DET	Nes	Nes
DET	Nep	Nep
DET	Neqa	Neqa
POST	Neqb	Neqb
CL	Nf	Nfa, Nfb, Nfc, Nfd, Nfe, Nfg, Nfh, Nfi
POST	Ng	Ng
N	Nh	Nhaa, Nhab, Nhac, Nhb, Nhc
Nv	Nv	Nv1, Nv2, Nv3, Nv4
I	I	I
P	P	P*
SFP	T	Ta, Tb, Tc, Td
Vi	VA	VA11, VA12, VA13, VA3, VA4
Vt	VAC	VA2
Vi	VB	VB11, VB12, VB2
Vt	VC	VC2, VC31, VC32, VC33
Vt	VCL	VC1
Vt	VD	VD1, VD2
Vt	VE	VE11, VE12, VE2
Vt	VF	VF1, VF2
Vt	VG	VG1, VG2
Vi	VH	VH11, VH12, VH13, VH14, VH15, VH17, VH21
Vt	VHC	VH16, VH22
Vi	VI	VI1, VI2, VI3
Vt	VJ	VJ1, VJ2, VJ3
Vt	VK	VK1, VK2
Vt	VL	VL1, VL2, VL3, VL4
Vt	V_2	V_2
DE	DE	DE
Vt	SHI	SHI
FW	FW	FW
COLONCATEGORY	COLONCATEGORY	COLONCATEGORY
COMMACATEGORY	COMMACATEGORY	COMMACATEGORY
DASHCATEGORY	DASHCATEGORY	DASHCATEGORY
ETCCATEGORY	ETCCATEGORY	ETCCATEGORY
EXCLAMATIONCATEGORY	EXCLAMATIONCATEGORY	EXCLAMATIONCATEGORY
PARENTHESISCATEGORY	PARENTHESISCATEGORY	PARENTHESISCATEGORY
PAUSECATEGORY	PAUSECATEGORY	PAUSECATEGORY
PERIODCATEGORY	PERIODCATEGORY	PERIODCATEGORY
QUESTIONCATEGORY	QUESTIONCATEGORY 	QUESTIONCATEGORY
SEMICOLONCATEGORY	SEMICOLONCATEGORY	SEMICOLONCATEGORY
SPCHANGECATEGORY	SPCHANGECATEGORY	SPCHANGECATEGORY
